sample	ref_genome	total_reads	mapping_rate	pairing_rate	(>=5)_depth_proportion	zero_depth_proportion	mean_depth	median_depth	ref_chrI_mean_depth	ref_chrI_median_depth	ref_chrII_mean_depth	ref_chrII_median_depth	ref_chrIII_mean_depth	ref_chrIII_median_depth	ref_chrIV_mean_depth	ref_chrIV_median_depth	ref_chrV_mean_depth	ref_chrV_median_depth	ref_chrVI_mean_depth	ref_chrVI_median_depth	ref_chrVII_mean_depth	ref_chrVII_median_depth	ref_chrVIII_mean_depth	ref_chrVIII_median_depth	ref_chrIX_mean_depth	ref_chrIX_median_depth	ref_chrX_mean_depth	ref_chrX_median_depth	ref_chrXI_mean_depth	ref_chrXI_median_depth	ref_chrXII_mean_depth	ref_chrXII_median_depth	ref_chrXIII_mean_depth	ref_chrXIII_median_depth	ref_chrXIV_mean_depth	ref_chrXIV_median_depth	ref_chrXV_mean_depth	ref_chrXV_median_depth	ref_chrXVI_mean_depth	ref_chrXVI_median_depth
AND1702-10.c	ref.genome.fa	11051551	1.00	1.00	0.95	0.04	89.68	93.00	102.60	110.00	90.56	94.00	102.29	102.00	85.46	90.00	92.54	96.00	102.51	106.00	88.57	92.00	89.20	94.00	87.93	93.00	90.08	94.00	95.61	96.00	85.54	88.00	89.86	93.00	91.46	94.00	88.70	91.00	85.10	90.00
AND1702-10.d	ref.genome.fa	11681948	1.00	1.00	0.95	0.04	94.84	99.00	86.96	101.00	95.83	100.00	98.97	104.00	90.79	97.00	95.30	101.00	103.47	108.00	95.34	99.00	96.88	101.00	99.26	104.00	92.94	99.00	100.47	103.00	93.08	97.00	96.43	100.00	97.43	101.00	94.29	98.00	90.91	97.00
AND1702-11.a	ref.genome.fa	12316531	1.00	1.00	0.95	0.04	100.12	105.00	106.50	117.00	101.35	106.00	112.88	114.00	95.45	101.00	102.76	108.00	113.19	118.00	99.88	104.00	98.19	104.00	96.74	105.00	99.75	106.00	105.29	108.00	96.33	100.00	100.11	104.00	100.68	105.00	101.44	103.00	97.52	103.00
AND1702-11.b	ref.genome.fa	8576307	1.00	1.00	0.95	0.04	69.62	72.00	73.03	79.00	70.66	73.00	75.52	79.00	66.29	70.00	71.04	74.00	76.41	80.00	68.12	71.00	69.69	73.00	72.59	75.00	70.11	73.00	74.68	75.00	68.72	70.00	70.53	72.00	69.00	72.00	67.48	71.00	67.97	71.00
AND1702-11.c	ref.genome.fa	9746801	1.00	1.00	0.95	0.05	79.18	83.00	72.07	84.00	79.64	82.00	81.90	86.00	76.72	81.00	78.95	83.00	84.46	89.00	78.88	82.00	78.15	83.00	81.56	84.00	78.64	83.00	83.90	85.00	78.00	81.00	80.55	83.00	81.47	84.00	80.00	82.00	76.38	81.00
AND1702-11.d	ref.genome.fa	12767783	1.00	1.00	0.95	0.04	103.80	109.00	102.30	118.00	107.28	111.00	111.69	118.00	98.89	105.00	108.22	113.00	112.48	119.00	105.10	110.00	103.75	110.00	103.33	112.00	103.25	110.00	108.87	112.00	99.49	103.00	105.16	110.00	105.83	111.00	103.23	107.00	99.51	106.00
AND1702-12.a	ref.genome.fa	7670287	1.00	1.00	0.95	0.04	62.23	64.00	70.83	77.00	63.12	65.00	72.08	72.00	58.42	61.00	63.04	65.00	84.03	81.00	61.12	63.00	62.50	65.00	63.25	65.00	61.64	64.00	65.56	66.00	58.81	60.00	61.64	63.00	63.38	65.00	61.30	62.00	58.91	62.00
AND1702-12.b	ref.genome.fa	12335897	1.00	1.00	0.95	0.04	100.30	105.00	113.88	121.00	102.19	106.00	103.86	111.00	95.33	101.00	103.57	107.00	108.55	115.00	101.13	104.00	97.78	105.00	100.49	107.00	99.46	105.00	104.98	107.00	97.73	101.00	101.65	105.00	102.12	106.00	100.15	103.00	95.93	102.00
AND1702-12.c	ref.genome.fa	12346215	1.00	1.00	0.95	0.04	100.39	106.00	91.69	107.00	101.63	106.00	106.51	112.00	97.44	103.00	102.08	107.00	105.19	112.00	98.69	105.00	101.33	106.00	103.66	109.00	100.58	107.00	106.96	109.00	98.13	103.00	101.39	106.00	102.12	107.00	98.86	104.00	98.81	104.00
AND1702-12.d	ref.genome.fa	12741714	1.00	1.00	0.95	0.04	103.46	109.00	96.67	113.00	106.10	110.00	110.34	115.00	99.72	106.00	103.35	110.00	114.77	120.00	103.17	108.00	102.97	109.00	105.39	111.00	102.57	110.00	110.08	113.00	100.11	105.00	105.42	110.00	104.29	110.00	103.60	107.00	100.22	106.00
