sample	ref_genome	chr	start	end	copy_number	status	MWU_test_p_value	KS_test_p_value
AND1702-8.b	ref.genome.fa	ref_chrX	23001	24000	0	loss	0.000547335703735628	0.00068900320552201
AND1702-8.b	ref.genome.fa	ref_chrX	709251	710500	2	gain	0.000125547621319156	0.000110524204171125
AND1702-8.b	ref.genome.fa	ref_chrX	726751	728250	0	loss	2.27796374302491e-05	1.2719720572596e-05
AND1702-8.b	ref.genome.fa	ref_chrXI	665251	666750	0	loss	0.000551620149491132	0.000687520585790913
AND1702-8.b	ref.genome.fa	ref_chrXII	459751	460500	38	gain	0.0027011902759135	0.00495951019141416
AND1702-8.b	ref.genome.fa	ref_chrXII	732001	735000	0	loss	2.13025025577315e-09	8.41829939091099e-11
AND1702-8.b	ref.genome.fa	ref_chrXII	1062001	1065000	0	loss	0.00973478835504681	0.00774418133375843
AND1702-8.b	ref.genome.fa	ref_chrXIII	923251	924250	0	loss	0.000566536342462422	0.000721613591733394
AND1702-8.b	ref.genome.fa	ref_chrXV	24501	31750	4	gain	9.71294146228453e-09	6.05267169717649e-10
AND1702-8.b	ref.genome.fa	ref_chrXV	31751	38750	2	gain	3.34571935988257e-18	0
AND1702-8.b	ref.genome.fa	ref_chrXVI	22751	25750	2	gain	2.30821741896452e-09	9.07647290659952e-11
AND1702-8.b	ref.genome.fa	ref_chrXVI	925001	926750	2	gain	5.08411253307502e-06	1.82911242385675e-06
AND1702-8.b	ref.genome.fa	ref_chrXVI	926751	940000	0	loss	1.70357522086493e-32	0
AND1702-8.c	ref.genome.fa	ref_chrI	12751	23750	0	loss	4.79017904330687e-12	2.96429547574917e-14
AND1702-8.c	ref.genome.fa	ref_chrI	198501	230000	0	loss	2.41980979735176e-18	0
AND1702-8.c	ref.genome.fa	ref_chrII	694501	695000	0	loss	0.014494517878482	0.0371930656240869
AND1702-8.c	ref.genome.fa	ref_chrII	801501	808000	0	loss	5.40697551576848e-10	3.59756668899536e-11
AND1702-8.c	ref.genome.fa	ref_chrIII	306251	310250	3	gain	4.90518274418935e-08	4.7696141480813e-09
AND1702-8.c	ref.genome.fa	ref_chrIII	310251	314500	4	gain	2.20263190848011e-11	2.04614103438416e-13
AND1702-8.c	ref.genome.fa	ref_chrIV	127501	129000	0	loss	2.33072214952649e-05	1.30155218258654e-05
AND1702-8.c	ref.genome.fa	ref_chrIV	383501	384500	0	loss	0.00223270749827012	0.0170161637130999
AND1702-8.c	ref.genome.fa	ref_chrIV	538501	538750	2	gain	0.0854435534395127	0.273789504407208
AND1702-8.c	ref.genome.fa	ref_chrV	567001	570250	0	loss	1.06775563983409e-08	9.158053204672e-10
AND1702-8.c	ref.genome.fa	ref_chrVI	4751	6250	0	loss	0.000568965989260089	0.000710980786235327
AND1702-8.c	ref.genome.fa	ref_chrVI	148251	149000	0	loss	0.00296011272142336	0.00546447755262014
AND1702-8.c	ref.genome.fa	ref_chrVII	751	2750	0	loss	1.03561316658531e-06	2.44044397468279e-07
AND1702-8.c	ref.genome.fa	ref_chrVIII	133001	134250	0	loss	0.000126928545159475	0.000122465634629032
AND1702-8.c	ref.genome.fa	ref_chrVIII	193251	194750	0	loss	0.000558914862961972	0.000706674514470484
AND1702-8.c	ref.genome.fa	ref_chrIX	19501	26000	0	loss	2.43560795491335e-06	2.03875064386239e-07
AND1702-8.c	ref.genome.fa	ref_chrIX	37251	39000	2	gain	5.42351004003632e-06	1.9635827454012e-06
AND1702-8.c	ref.genome.fa	ref_chrIX	51501	51750	3	gain	0.0844112128094853	0.272023382569696
AND1702-8.c	ref.genome.fa	ref_chrIX	105251	106000	0	loss	0.00281667001632689	0.00523434531720157
AND1702-8.c	ref.genome.fa	ref_chrX	21001	24250	0	loss	0.00812489241237398	0.0111706778634629
AND1702-8.c	ref.genome.fa	ref_chrX	24251	26000	2	gain	5.39786537631081e-06	2.12787363118583e-06
AND1702-8.c	ref.genome.fa	ref_chrX	27251	28500	2	gain	0.000118059968679855	9.93625257812436e-05
AND1702-8.c	ref.genome.fa	ref_chrX	726751	728250	0	loss	5.16077740600962e-05	0.000222107481275491
AND1702-8.c	ref.genome.fa	ref_chrXI	15751	16250	0	loss	0.014494517878482	0.0371930656240869
AND1702-8.c	ref.genome.fa	ref_chrXII	459751	460500	39	gain	0.00271473239077359	0.00497553424313235
AND1702-8.c	ref.genome.fa	ref_chrXIII	183501	184000	0	loss	0.0149780203934706	0.0383670993736603
AND1702-8.c	ref.genome.fa	ref_chrXIV	654501	654750	2	gain	0.0848804768008359	0.272820736484903
AND1702-8.c	ref.genome.fa	ref_chrXIV	783501	784250	0	loss	0.00288135298327958	0.00529775750278505
AND1702-8.c	ref.genome.fa	ref_chrXV	24501	31750	4	gain	1.00587943615993e-08	6.19590823092153e-10
AND1702-8.c	ref.genome.fa	ref_chrXV	31751	39000	2	gain	1.66622633341117e-18	0
AND1702-8.c	ref.genome.fa	ref_chrXV	721501	722750	0	loss	0.000114374761128638	0.000100118985248421
AND1702-8.d	ref.genome.fa	ref_chrII	238251	238500	3	gain	0.0850355818809354	0.27311207340603
AND1702-8.d	ref.genome.fa	ref_chrII	622751	623000	3	gain	0.0844325467761384	0.272048152491192
AND1702-8.d	ref.genome.fa	ref_chrII	802251	808000	2	gain	1.25828774062104e-08	1.02949504476868e-09
AND1702-8.d	ref.genome.fa	ref_chrIII	84501	92500	0	loss	4.96964883974408e-06	1.83900800909687e-06
AND1702-8.d	ref.genome.fa	ref_chrIII	148501	151500	0	loss	2.20916595211928e-09	8.62638849241648e-11
AND1702-8.d	ref.genome.fa	ref_chrIII	308251	315750	0	loss	5.93581685839777e-18	0
AND1702-8.d	ref.genome.fa	ref_chrIV	1156001	1159500	0	loss	1.02200000417084e-10	1.60138569071933e-12
AND1702-8.d	ref.genome.fa	ref_chrV	115751	117000	0	loss	0.000113003675820811	9.60053350500534e-05
AND1702-8.d	ref.genome.fa	ref_chrVI	4751	5250	0	loss	0.0148042132878557	0.0373800802880968
AND1702-8.d	ref.genome.fa	ref_chrVI	148251	149000	0	loss	0.00316112948892277	0.00613374618269547
AND1702-8.d	ref.genome.fa	ref_chrVII	89251	90000	0	loss	0.00282456678496956	0.00522462976409921
AND1702-8.d	ref.genome.fa	ref_chrVII	402501	405250	0	loss	0.000549588568141251	0.00069839374694125
AND1702-8.d	ref.genome.fa	ref_chrVIII	556251	557000	0	loss	0.0148289639678625	0.037440309083826
AND1702-8.d	ref.genome.fa	ref_chrIX	434251	439750	0	loss	1.70636596267326e-13	2.09832151654155e-14
AND1702-8.d	ref.genome.fa	ref_chrX	24251	26000	2	gain	5.52603942345472e-06	2.0718330054903e-06
AND1702-8.d	ref.genome.fa	ref_chrX	27001	28500	2	gain	2.57113718899454e-05	1.44023861696763e-05
AND1702-8.d	ref.genome.fa	ref_chrXI	15751	16250	0	loss	0.0145520565933888	0.037366707620743
AND1702-8.d	ref.genome.fa	ref_chrXII	459751	460500	37	gain	0.00270118670561973	0.00495950524365008
AND1702-8.d	ref.genome.fa	ref_chrXII	732001	735000	0	loss	2.27863112630332e-09	9.35871380391973e-11
AND1702-8.d	ref.genome.fa	ref_chrXIII	183501	184000	0	loss	0.0148042132672621	0.0377562175868191
AND1702-8.d	ref.genome.fa	ref_chrXV	1	14750	0	loss	1.30074455414326e-33	0
AND1702-8.d	ref.genome.fa	ref_chrXV	30751	32250	0	loss	2.31798162215655e-05	1.30577395766052e-05
AND1702-8.d	ref.genome.fa	ref_chrXV	1069501	1074250	0	loss	0.000257137276916648	7.30513252825693e-05
AND1702-8.d	ref.genome.fa	ref_chrXVI	926751	940000	0	loss	3.27868535100681e-35	0
AND1702-9.a	ref.genome.fa	ref_chrI	1	1000	3	gain	0.00053744881819513	0.0006777000711784
AND1702-9.a	ref.genome.fa	ref_chrII	75751	76250	2	gain	0.014583265986384	0.0371536431964176
AND1702-9.a	ref.genome.fa	ref_chrII	469501	472250	0	loss	9.43463549883868e-09	6.04580607799221e-10
AND1702-9.a	ref.genome.fa	ref_chrIII	1	500	0	loss	0.0150287493056211	0.0386779205082064
AND1702-9.a	ref.genome.fa	ref_chrIII	84501	92500	0	loss	4.71007396435528e-06	1.79926040411171e-06
AND1702-9.a	ref.genome.fa	ref_chrIII	148501	151500	0	loss	2.00628623746819e-09	7.81484876810623e-11
AND1702-9.a	ref.genome.fa	ref_chrIII	227251	228000	0	loss	0.00308782487762906	0.00620466314805568
AND1702-9.a	ref.genome.fa	ref_chrIII	315251	315750	0	loss	0.0144307800800779	0.0369279368940503
AND1702-9.a	ref.genome.fa	ref_chrIV	127501	129000	0	loss	2.23133403892094e-05	1.24214293377722e-05
AND1702-9.a	ref.genome.fa	ref_chrIV	383501	384500	0	loss	0.000705133270670147	0.00131185460952044
AND1702-9.a	ref.genome.fa	ref_chrIV	461501	462500	0	loss	0.000559745969200865	0.000726171548585675
AND1702-9.a	ref.genome.fa	ref_chrIV	1156001	1159500	0	loss	9.2908161954587e-11	1.41453515567491e-12
AND1702-9.a	ref.genome.fa	ref_chrV	6251	7750	0	loss	0.000789756651903976	0.0005488480986513
AND1702-9.a	ref.genome.fa	ref_chrV	7751	10250	0	loss	4.43280673431061e-08	4.57797688646622e-09
AND1702-9.a	ref.genome.fa	ref_chrV	21251	22000	2	gain	0.0145212172123108	0.037027364940609
AND1702-9.a	ref.genome.fa	ref_chrV	117001	118000	2	gain	0.000541809670801766	0.000681355769921232
AND1702-9.a	ref.genome.fa	ref_chrVI	4751	5250	0	loss	0.0143693039303545	0.0367429625685528
AND1702-9.a	ref.genome.fa	ref_chrVII	402501	405250	0	loss	0.000533968283519627	0.000673820930030988
AND1702-9.a	ref.genome.fa	ref_chrVII	1064251	1067000	2	gain	9.74495183198742e-09	6.02202621102776e-10
AND1702-9.a	ref.genome.fa	ref_chrVII	1067001	1068750	2	gain	4.70016772969851e-06	1.71447151597892e-06
AND1702-9.a	ref.genome.fa	ref_chrVII	1082751	1084000	2	gain	0.000160657868717036	0.000259072393810955
AND1702-9.a	ref.genome.fa	ref_chrVIII	94001	95000	0	loss	0.000539469416772215	0.000679647482836554
AND1702-9.a	ref.genome.fa	ref_chrVIII	133001	134250	0	loss	0.000115467494625476	0.000102159162518323
AND1702-9.a	ref.genome.fa	ref_chrVIII	193251	194750	0	loss	0.000538730301927302	0.000680379113668694
AND1702-9.a	ref.genome.fa	ref_chrVIII	413501	413750	3	gain	0.0834168126784401	0.270289833990013
AND1702-9.a	ref.genome.fa	ref_chrIX	37251	39000	2	gain	4.69884840711151e-06	1.69414984463323e-06
AND1702-9.a	ref.genome.fa	ref_chrIX	434251	438500	0	loss	1.87918331786491e-10	1.2245648939313e-11
AND1702-9.a	ref.genome.fa	ref_chrX	23001	24250	0	loss	0.00014235914069664	0.000212433486609598
AND1702-9.a	ref.genome.fa	ref_chrX	24251	25750	2	gain	2.26852566074297e-05	1.26915903700953e-05
AND1702-9.a	ref.genome.fa	ref_chrX	27001	28500	2	gain	2.26340502792917e-05	1.26439092327235e-05
AND1702-9.a	ref.genome.fa	ref_chrX	99501	99750	2	gain	0.0836248637322091	0.270650713140425
AND1702-9.a	ref.genome.fa	ref_chrXI	665251	666750	0	loss	0.000536518614542143	0.000676000378068142
AND1702-9.a	ref.genome.fa	ref_chrXII	459751	460500	52	gain	0.00270118758032818	0.00495950650076371
AND1702-9.a	ref.genome.fa	ref_chrXII	682501	682750	5	gain	0.0833198657622431	0.270121543939728
AND1702-9.a	ref.genome.fa	ref_chrXII	732001	735000	0	loss	2.05392484477034e-09	8.39854852330291e-11
AND1702-9.a	ref.genome.fa	ref_chrXIII	183251	183750	5	gain	0.0143233485238752	0.0366573575186872
AND1702-9.a	ref.genome.fa	ref_chrXIII	923251	924250	0	loss	0.000571707706265015	0.000782036141648179
AND1702-9.a	ref.genome.fa	ref_chrXIV	131251	132000	0	loss	0.00452337191273008	0.0119493181255189
AND1702-9.a	ref.genome.fa	ref_chrXV	1	14750	0	loss	9.25633035477777e-34	0
AND1702-9.a	ref.genome.fa	ref_chrXV	30751	32250	0	loss	2.22503486121187e-05	1.23747213216507e-05
AND1702-9.a	ref.genome.fa	ref_chrXV	326501	326750	2	gain	0.0835832199392854	0.270578509204581
AND1702-9.a	ref.genome.fa	ref_chrXV	1069501	1074250	0	loss	0.000351411509893263	6.97561411984182e-05
AND1702-9.a	ref.genome.fa	ref_chrXVI	16751	17500	2	gain	0.00274608713132435	0.00503885240043878
AND1702-9.a	ref.genome.fa	ref_chrXVI	22751	25750	2	gain	2.05676117542596e-09	7.92490517653732e-11
AND1702-9.b	ref.genome.fa	ref_chrI	13251	23750	0	loss	2.07686146213013e-11	2.00284233642378e-13
AND1702-9.b	ref.genome.fa	ref_chrI	198751	202750	0	loss	4.7258563159825e-12	3.530509218308e-14
AND1702-9.b	ref.genome.fa	ref_chrI	202751	230000	0	loss	2.7088503151856e-06	7.02086518922229e-08
AND1702-9.b	ref.genome.fa	ref_chrII	469501	472250	0	loss	9.68751890345309e-09	6.00454908017412e-10
AND1702-9.b	ref.genome.fa	ref_chrIII	84501	92500	0	loss	4.75234155448456e-06	1.74819215337241e-06
AND1702-9.b	ref.genome.fa	ref_chrIII	148501	151500	0	loss	2.06435869434e-09	8.02817812228795e-11
AND1702-9.b	ref.genome.fa	ref_chrIII	306251	310250	2	gain	4.88653720241787e-08	4.59472837555097e-09
AND1702-9.b	ref.genome.fa	ref_chrIII	310251	314500	2	gain	2.23683588123249e-11	2.11053396981242e-13
AND1702-9.b	ref.genome.fa	ref_chrIV	92501	92750	4	gain	0.0836806959718148	0.270747485264772
AND1702-9.b	ref.genome.fa	ref_chrIV	461501	462500	0	loss	0.000568332075151765	0.000736924872904887
AND1702-9.b	ref.genome.fa	ref_chrV	117001	118250	2	gain	0.000131897831627404	0.000134180761591551
AND1702-9.b	ref.genome.fa	ref_chrV	434251	434500	2	gain	0.084098565931373	0.271470973450814
AND1702-9.b	ref.genome.fa	ref_chrV	567001	570250	0	loss	9.90565751793056e-09	6.87833123791393e-10
AND1702-9.b	ref.genome.fa	ref_chrVI	148251	149000	0	loss	0.00297465147487393	0.00546825534076112
AND1702-9.b	ref.genome.fa	ref_chrVII	89251	90000	0	loss	0.00276232976480444	0.00510710563669492
AND1702-9.b	ref.genome.fa	ref_chrVII	1068751	1084000	0	loss	1.21698873172506e-23	0
AND1702-9.b	ref.genome.fa	ref_chrVIII	94001	95000	0	loss	0.000549176015915163	0.000690218161864986
AND1702-9.b	ref.genome.fa	ref_chrVIII	556251	557000	0	loss	0.014516937164182	0.0369546468036189
AND1702-9.b	ref.genome.fa	ref_chrIX	19501	26000	0	loss	4.63986286872504e-08	4.66101968132904e-09
AND1702-9.b	ref.genome.fa	ref_chrIX	434251	439750	0	loss	5.14663173263799e-14	1.11022302462516e-16
AND1702-9.b	ref.genome.fa	ref_chrX	23001	24000	0	loss	0.000543147589138845	0.000683811913368415
AND1702-9.b	ref.genome.fa	ref_chrX	436251	436750	0	loss	0.0157430063914732	0.0408269216434913
AND1702-9.b	ref.genome.fa	ref_chrXI	15751	16250	0	loss	0.0144044714838269	0.0369215128305764
AND1702-9.b	ref.genome.fa	ref_chrXI	665251	666750	0	loss	0.000544442599701155	0.000682831297676545
AND1702-9.b	ref.genome.fa	ref_chrXII	459751	460500	37	gain	0.00270118855076257	0.00495950784942523
AND1702-9.b	ref.genome.fa	ref_chrXIV	752751	753250	2	gain	0.0150978280634034	0.0379472617063921
AND1702-9.b	ref.genome.fa	ref_chrXIV	783501	784250	0	loss	0.0027594865140613	0.00502807368427982
AND1702-9.b	ref.genome.fa	ref_chrXV	1	14750	0	loss	1.05436845802856e-33	0
AND1702-9.b	ref.genome.fa	ref_chrXV	29251	39000	2	gain	1.97849127902978e-21	0
AND1702-9.b	ref.genome.fa	ref_chrXV	721501	722750	0	loss	0.000111064448767577	9.65294447879961e-05
AND1702-9.b	ref.genome.fa	ref_chrXVI	120001	120250	4	gain	0.0836390016088638	0.270675213860905
AND1702-9.c	ref.genome.fa	ref_chrI	13251	23750	0	loss	2.09194640044608e-11	2.00839345154691e-13
AND1702-9.c	ref.genome.fa	ref_chrI	198501	203000	0	loss	1.62193111276159e-11	1.26909593944902e-12
AND1702-9.c	ref.genome.fa	ref_chrI	203001	206750	3	gain	0.999581017019844	0.272450811775304
AND1702-9.c	ref.genome.fa	ref_chrII	694501	695000	3	gain	0.0145991338044174	0.0373880696345662
AND1702-9.c	ref.genome.fa	ref_chrIII	306251	314500	3	gain	5.78975432755261e-18	0
AND1702-9.c	ref.genome.fa	ref_chrIV	17751	18500	0	loss	0.0149725809759933	0.0382816724750425
AND1702-9.c	ref.genome.fa	ref_chrIV	127501	129000	0	loss	2.27469262868056e-05	1.27057017036414e-05
AND1702-9.c	ref.genome.fa	ref_chrIV	513001	521250	0	loss	6.78883358992126e-06	3.13228550330447e-06
AND1702-9.c	ref.genome.fa	ref_chrIV	524501	525250	0	loss	0.00276479563377016	0.00504165368004483
AND1702-9.c	ref.genome.fa	ref_chrIV	1156001	1159500	0	loss	9.65086512170188e-11	1.47437617670221e-12
AND1702-9.c	ref.genome.fa	ref_chrV	6251	10250	0	loss	2.29213707222433e-11	2.03015382282956e-12
AND1702-9.c	ref.genome.fa	ref_chrV	115751	117000	0	loss	0.000109806182746219	9.30485529411218e-05
AND1702-9.c	ref.genome.fa	ref_chrV	434251	434500	2	gain	0.0842246468265516	0.271688963281041
AND1702-9.c	ref.genome.fa	ref_chrV	520501	521000	0	loss	0.01465707765598	0.0375357249117504
AND1702-9.c	ref.genome.fa	ref_chrVI	4751	6250	0	loss	0.000548035203634165	0.00068504530073088
AND1702-9.c	ref.genome.fa	ref_chrVII	89001	90000	0	loss	0.000620035564342343	0.000912743081008527
AND1702-9.c	ref.genome.fa	ref_chrVII	402501	405250	0	loss	0.000542681771236903	0.000682101252111322
AND1702-9.c	ref.genome.fa	ref_chrVII	1068751	1076000	0	loss	1.25244247192803e-20	0
AND1702-9.c	ref.genome.fa	ref_chrVIII	105501	105750	4	gain	0.0835766192033186	0.27057909292217
AND1702-9.c	ref.genome.fa	ref_chrVIII	133001	134250	0	loss	0.000119949458631363	0.00010798002372836
AND1702-9.c	ref.genome.fa	ref_chrVIII	193251	194750	0	loss	0.000548035203397808	0.000689483714060968
AND1702-9.c	ref.genome.fa	ref_chrIX	19501	26000	0	loss	8.67623521039983e-05	0.000117166763603849
AND1702-9.c	ref.genome.fa	ref_chrIX	37251	39250	3	gain	1.00639061071507e-06	2.39404417290423e-07
AND1702-9.c	ref.genome.fa	ref_chrX	24501	26000	2	gain	2.32177625319933e-05	1.2808677187115e-05
AND1702-9.c	ref.genome.fa	ref_chrX	27001	28500	2	gain	2.33723583731956e-05	1.30520723764516e-05
AND1702-9.c	ref.genome.fa	ref_chrX	709251	710000	2	gain	0.00283809032290047	0.0051706815145216
AND1702-9.c	ref.genome.fa	ref_chrX	726751	728250	0	loss	3.71366116620827e-05	7.61230608782304e-05
AND1702-9.c	ref.genome.fa	ref_chrXI	15751	16250	0	loss	0.0144067105638132	0.0369282580667136
AND1702-9.c	ref.genome.fa	ref_chrXII	459751	460500	35	gain	0.0027071698502283	0.00496753375222203
AND1702-9.c	ref.genome.fa	ref_chrXII	1062001	1065000	0	loss	0.00178299447739424	0.00146476011012375
AND1702-9.c	ref.genome.fa	ref_chrXIII	165251	165500	4	gain	0.0836391545579572	0.27067547191029
AND1702-9.c	ref.genome.fa	ref_chrXIII	183501	184000	0	loss	0.0146794176771572	0.0376030092911923
AND1702-9.c	ref.genome.fa	ref_chrXV	29251	31500	5	gain	2.08855874840692e-07	3.13211323543783e-08
AND1702-9.c	ref.genome.fa	ref_chrXV	31501	39000	2	gain	1.38203328259033e-20	0
AND1702-9.c	ref.genome.fa	ref_chrXV	1069501	1074250	0	loss	0.000812084921353549	7.08550748541592e-05
AND1702-9.c	ref.genome.fa	ref_chrXVI	120001	120250	3	gain	0.0837921782814671	0.270940643239848
AND1702-9.c	ref.genome.fa	ref_chrXVI	192751	193000	3	gain	0.0839593716959352	0.271230137049495
AND1702-9.c	ref.genome.fa	ref_chrXVI	925001	926750	2	gain	4.92315216425387e-06	1.76808706242593e-06
AND1702-9.c	ref.genome.fa	ref_chrXVI	926751	928500	0	loss	0.00251788804052667	0.00173720324297688
AND1702-9.c	ref.genome.fa	ref_chrXVI	928501	940000	0	loss	6.80151616821702e-29	0
