tetrad_id	event_id	event_type	event_subtype	chr	marker_pos_start	marker_pos_end	adjusted_pos_start	adjusted_pos_end	adjusted_size	marker_raw_index_start	marker_raw_index_end	marker_effective_index_start	marker_effective_index_end	affected_spores
AND1702-8	23	CO	Type1_CO	SK1_chrVII	742707	744056	743381.5	743381.5	1	18373	18375	18045	18047	0:1:0:1
AND1702-8	24	CO	Type1_CO	SK1_chrVII	818830	831278	825054	825054	1	18709	18754	18380	18425	0:0:1:1
AND1702-8	25	CO	Type1_CO	SK1_chrVII	996015	997907	996961	996961	1	19531	19539	19198	19206	1:0:0:1
AND1702-8	26	CO	Type1_CO	SK1_chrVIII	490588	493405	491996.5	491996.5	1	21945	21954	21599	21607	0:0:1:1
AND1702-8	27	CO	Type1_CO	SK1_chrX	79716	80801	80258.5	80258.5	1	24087	24088	23705	23706	0:0:1:1
AND1702-8	28	CO	Type1_CO	SK1_chrX	176269	177103	176686	176686	1	24504	24509	24121	24126	1:0:0:1
AND1702-8	29	CO	Type1_CO	SK1_chrX	254912	256522	255717	255717	1	24849	24852	24466	24469	1:0:1:0
AND1702-8	30	CO	Type1_CO	SK1_chrX	473176	477650	475413	475413	1	25805	25829	25422	25444	1:0:1:0
AND1702-8	31	CO	Type1_CO	SK1_chrX	570416	576058	573237	573237	1	26072	26083	25687	25698	1:0:0:1
AND1702-8	32	CO	Type1_CO	SK1_chrXI	45132	47762	46447	46447	1	26700	26702	26314	26315	1:0:1:0
AND1702-8	33	CO	Type1_CO	SK1_chrXI	278157	281409	279783	279783	1	27446	27453	27059	27066	0:1:0:1
AND1702-8	34	CO	Type1_CO	SK1_chrXI	613148	614671	613909.5	613909.5	1	28918	28923	28530	28535	1:0:1:0
AND1702-8	35	CO	Type1_CO	SK1_chrXII	75690	78136	76913	76913	1	29443	29452	29054	29063	0:1:0:1
AND1702-8	36	CO	Type1_CO	SK1_chrXII	336068	336519	336293.5	336293.5	1	30624	30626	30234	30235	1:0:1:0
AND1702-8	37	CO	Type1_CO	SK1_chrXII	565943	570100	568021.5	568021.5	1	31669	31690	31278	31299	0:1:0:1
AND1702-8	38	CO	Type1_CO	SK1_chrXII	639302	640765	640033.5	640033.5	1	32031	32033	31640	31642	1:1:0:0
AND1702-8	39	CO	Type1_CO	SK1_chrXII	905496	906683	906089.5	906089.5	1	32782	32791	32391	32399	0:0:1:1
AND1702-8	40	CO	Type1_CO	SK1_chrXII	919582	924198	921890	921890	1	32869	32880	32477	32486	1:1:0:0
AND1702-8	41	CO	Type1_CO	SK1_chrXII	966460	968431	967445.5	967445.5	1	32997	32998	32603	32604	1:0:0:1
AND1702-8	42	CO	Type1_CO	SK1_chrXIII	59937	62279	61108	61108	1	33412	33413	33017	33018	0:1:1:0
AND1702-8	43	CO	Type1_CO	SK1_chrXIII	159025	162878	160951.5	160951.5	1	33777	33796	33380	33398	1:1:0:0
AND1702-8	44	CO	Type1_CO	SK1_chrXIII	378992	380698	379845	379845	1	34712	34715	34314	34317	0:0:1:1
AND1702-8	45	CO	Type1_CO	SK1_chrXIII	744175	745443	744809	744809	1	36324	36344	35925	35945	0:0:1:1
AND1702-8	46	CO	Type1_CO	SK1_chrXIII	845495	847682	846588.5	846588.5	1	36788	36792	36388	36392	0:1:0:1
AND1702-8	47	CO	Type1_CO	SK1_chrXIV	189745	192963	191354	191354	1	37623	37646	37222	37245	1:0:1:0
AND1702-8	48	CO	Type1_CO	SK1_chrXIV	429496	433253	431374.5	431374.5	1	38723	38731	38321	38325	1:1:0:0
AND1702-8	49	CO	Type1_CO	SK1_chrXIV	506776	513368	510072	510072	1	38991	39017	38585	38611	1:1:0:0
AND1702-8	50	CO	Type1_CO	SK1_chrXV	328726	337476	333101	333101	1	41409	41461	40994	41046	1:1:0:0
AND1702-8	51	CO	Type1_CO	SK1_chrXV	396082	398528	397305	397305	1	41753	41758	41338	41343	1:0:0:1
AND1702-8	52	CO	Type1_CO	SK1_chrXV	496564	499076	497820	497820	1	42122	42124	41707	41709	0:1:0:1
AND1702-8	53	CO	Type1_CO	SK1_chrXV	678093	679467	678780	678780	1	42805	42817	42390	42402	1:1:0:0
AND1702-8	54	CO	Type1_CO	SK1_chrXV	715235	720261	717748	717748	1	42953	42980	42537	42564	1:0:0:1
AND1702-8	55	CO	Type1_CO	SK1_chrXV	883835	887150	885492.5	885492.5	1	43672	43693	43256	43275	0:1:0:1
AND1702-8	56	CO	Type1_CO	SK1_chrXVI	72156	72590	72373	72373	1	44726	44728	44225	44227	0:1:1:0
AND1702-8	57	CO	Type1_CO	SK1_chrXVI	376097	380288	378192.5	378192.5	1	46192	46208	45688	45704	0:1:1:0
AND1702-8	58	CO	Type1_CO	SK1_chrXVI	429914	433421	431667.5	431667.5	1	46421	46439	45917	45935	1:0:0:1
AND1702-8	59	CO	Type1_CO	SK1_chrXVI	496356	499220	497788	497788	1	46696	46709	46192	46205	0:0:1:1
AND1702-8	60	CO	Type1_CO	SK1_chrXVI	621013	628849	624931	624931	1	47404	47453	46900	46948	1:1:0:0
AND1702-8	61	CO	Type1_CO	SK1_chrXVI	644884	647831	646357.5	646357.5	1	47495	47504	46990	46998	1:1:0:0
AND1702-8	62	CO	Type1_CO	SK1_chrXVI	833473	844481	838977	838977	1	48275	48323	47769	47817	0:0:1:1
